,x,y
t11,6565,10142
t12,5564,9727
t13,4666,9355
t14,3765,8982
t15,2865,8609
t21,15220,6587
t22,15220,5579
t23,15220,4687
t24,15220,3787
t25,15220,2887
t31,32470,6587
t_3_2_,32470,5579
t_3_3_,32470,4687
t_3_4_,32470,3787
t_3_5_,32470,2887
"t(4,1)",40298,6591
"t(4,2)",40713,5591
"t(4,3)",41085,4691
"t(4,4)",41458,3791
"t(4,5)",41831,2891
"t(5,1)",43875,10142
"t(5,2)",44870,9727
"t(5,3)",45770,9355
"t(5,4)",46670,8972
"t(5,5)",47570,8609
t61,43875,27298
t62,44870,27713
t63,45770,28085
t64,46670,28458
t65,47570,28831
t71,33970,30842
t72,33970,31747
t73,33970,32747
t74,33970,33747
t75,33970,34747
t81,32660,31568
t82,32660,33058
t83,32660,34560
t91,17780,31568
t92,17780,33058
t101,10142,30852
t102,9727,31745
t103,9355,32638
t104,8982,33531
t105,8609,34424
t111,6570,27298
t112,5565,27712
t113,4560,28085
t114,3555,28458
t115,2550,28831
