,x,y
A_1_1_,6565,16785
A_1_2_,6565,16185
A_1_3_,6565,15585
A_1_4_,6565,14985
A_1_5_,6565,14385
A_1_6_,6565,13785
A_1_7_,6565,13185
A_1_8_,6565,12585
A_1_9_,6565,11985
A_1_10_,6565,11385
A_2_1_,5564,16785
A_2_2_,5564,16185
A_2_3_,5564,15585
A_2_4_,5564,14985
A_2_5_,5564,14385
A_2_6_,5564,13785
A_2_7_,5564,13185
A_2_8_,5564,12585
A_2_9_,5564,11985
A_2_10_,5564,11385
A_3_1_,4666,16785
A_3_2_,4666,16185
A_3_3_,4666,15585
A_3_4_,4666,14985
A_3_5_,4666,14385
A_3_6_,4666,13785
A_3_7_,4666,13185
A_3_8_,4666,12585
A_3_9_,4666,11985
A_3_10_,4666,11385
"A(3,11)",4666,10785
"A(4,1)",3765,16785
"A(4,2)",3765,16185
"A(4,3)",3765,15585
"A(4,4)",3765,14985
"A(4,5)",3765,14385
"A(4,6)",3765,13785
"A(4,7)",3765,13185
"A(4,8)",3765,12585
"A(4,9)",3765,11985
"A(4,10)",3765,11385
"A(4,11)",3765,10785
"A(4,12)",3765,10185
"A(5,1)",2865,16785
"A(5,2)",2865,16185
"A(5,3)",2865,15585
"A(5,4)",2865,14985
"A(5,5)",2865,14385
"A(5,6)",2865,13785
"A(5,7)",2865,13185
"A(5,8)",2865,12585
"A(5,9)",2865,11985
"A(5,10)",2865,11385
"A(5,11)",2865,10785
"A(5,12)",2865,10185
"A(5,13)",2865,9585
"B(1,1)",6919,9192
"B(1,2)",7343,8768
"B(1,3)",7768,8343
"B(1,4)",8192,7919
"B(1,5)",8616,7495
"B(1,6)",9040,7071
"B(2,1)",5789,8903
"B(2,2)",6213,8479
"B(2,3)",6637,8055
"B(2,4)",7061,7631
"B(2,5)",7485,7207
"B(2,6)",7909,6783
"B(2,7)",8333,6359
"B(3,1)",5196,8301
"B(3,2)",5620,7877
"B(3,3)",6044,7453
"B(3,4)",6468,7029
"B(3,5)",6892,6605
"B(3,6)",7316,6181
"B(3,7)",7740,5757
"B(3,8)",8164,5333
"B(4,1)",4128,8070
"B(4,2)",4552,7646
"B(4,3)",4976,7222
"B(4,4)",5400,6798
"B(4,5)",5824,6374
"B(4,6)",6248,5950
"B(4,7)",6672,5526
"B(4,8)",7096,5102
"B(4,9)",7520,4678
"B(4,10)",7944,4254
"B(5,1)",3474,7407
"B(5,2)",3898,6983
"B(5,3)",4322,6559
"B(5,4)",4746,6135
"B(5,5)",5170,5711
"B(5,6)",5594,5287
"B(5,7)",6018,4863
"B(5,8)",6442,4439
"B(5,9)",6866,4015
"B(5,10)",7290,3591
C_1_1_,9846,6587
C_1_2_,10446,6587
C_1_3_,11046,6587
C_1_4_,11646,6587
C_1_5_,12246,6587
C_1_6_,12846,6587
C_1_7_,13446,6587
C_1_8_,14046,6587
C_2_1_,9246,5579
C_2_2_,9846,5579
C_2_3_,10446,5579
C_2_4_,11046,5579
C_2_5_,11646,5579
C_2_6_,12246,5579
C_2_7_,12846,5579
C_2_8_,13446,5579
C_2_9_,14046,5579
C_3_1_,9246,4687
C_3_2_,9846,4687
C_3_3_,10446,4687
C_3_4_,11046,4687
C_3_5_,11646,4687
C_3_6_,12246,4687
C_3_7_,12846,4687
C_3_8_,13446,4687
C_3_9_,14046,4687
C_4_1_,8646,3787
C_4_2_,9246,3787
C_4_3_,9846,3787
C_4_4_,10446,3787
C_4_5_,11046,3787
C_4_6_,11646,3787
C_4_7_,12246,3787
C_4_8_,12846,3787
C_4_9_,13446,3787
C_4_10_,14046,3787
C_5_1_,8646,2887
C_5_2_,9246,2887
C_5_3_,9846,2887
C_5_4_,10446,2887
C_5_5_,11046,2887
C_5_6_,11646,2887
C_5_7_,12246,2887
C_5_8_,12846,2887
C_5_9_,13446,2887
C_5_10_,14046,2887
"D_1,1_",16373,6587
"D_1,2_",16973,6587
"D_1,3_",17573,6587
