,x,y
t_1_1,6565,10142
t_1_2,5564,9727
t_1_3,4666,9355
t_1_4,3765,8982
t_1_5,2865,8609
t_2_1,15220,6587
t_2_2,15220,5579
t_2_3,15220,4687
t_2_4,15220,3787
t_2_5,15220,2887
t_3_1,32470,6587
t_3_2,32470,5579
t_3_3,32470,4687
t_3_4,32470,3787
t_3_5,32470,2887
t_4_1,40298,6591
t_4_2,40713,5591
t_4_3,41085,4691
t_4_4,41458,3791
t_4_5,41831,2891
t_5_1,43875,10142
t_5_2,44870,9727
t_5_3,45770,9355
t_5_4,46670,8972
t_5_5,47570,8609
t_6_1,43875,27298
t_6_2,44870,27712
t_6_3,45770,28085
t_6_4,46670,28458
t_6_5,47570,28831
t_7_1,33970,30842
t_7_2,33970,31747
t_7_3,33970,32747
t_7_4,33970,33747
t_7_5,33970,34747
t_8_1,32660,31568
t_8_2,32660,33058
t_8_3,32660,34560
t_9_1,17780,31568
t_9_2,17780,33058
t_10_1,10142,30852
t_10_2,9727,31745
t_10_3,9355,32638
t_10_4,8982,33531
t_10_5,8609,34424
t_11_1,6570,27298
t_11_2,5565,27712
t_11_3,4560,28085
t_11_4,3555,28458
t_11_5,2550,28831
