,x,y
A_1_1,6565,16785
A_1_2,6565,16185
A_1_3,6565,15585
A_1_4,6565,14985
A_1_5,6565,14385
A_1_6,6565,13785
A_1_7,6565,13185
A_1_8,6565,12585
A_1_9,6565,11985
A_1_10,6565,11385
A_2_1,5564,16785
A_2_2,5564,16185
A_2_3,5564,15585
A_2_4,5564,14985
A_2_5,5564,14385
A_2_6,5564,13785
A_2_7,5564,13185
A_2_8,5564,12585
A_2_9,5564,11985
A_2_10,5564,11385
A_3_1,4666,16785
A_3_2,4666,16185
A_3_3,4666,15585
A_3_4,4666,14985
A_3_5,4666,14385
A_3_6,4666,13785
A_3_7,4666,13185
A_3_8,4666,12585
A_3_9,4666,11985
A_3_10,4666,11385
A_3_11,4666,10785
A_4_1,3765,16785
A_4_2,3765,16185
A_4_3,3765,15585
A_4_4,3765,14985
A_4_5,3765,14385
A_4_6,3765,13785
A_4_7,3765,13185
A_4_8,3765,12585
A_4_9,3765,11985
A_4_10,3765,11385
A_4_11,3765,10785
A_4_12,3765,10185
A_5_1,2865,16785
A_5_2,2865,16185
A_5_3,2865,15585
A_5_4,2865,14985
A_5_5,2865,14385
A_5_6,2865,13785
A_5_7,2865,13185
A_5_8,2865,12585
A_5_9,2865,11985
A_5_10,2865,11385
A_5_11,2865,10785
A_5_12,2865,10185
A_5_13,2865,9585
B_1_1,6919,9192
B_1_2,7343,8768
B_1_3,7768,8343
B_1_4,8192,7919
B_1_5,8616,7495
B_1_6,9040,7071
B_2_1,5789,8903
B_2_2,6213,8479
B_2_3,6637,8055
B_2_4,7061,7631
B_2_5,7485,7207
B_2_6,7909,6783
B_2_7,8333,6359
B_3_1,5196,8301
B_3_2,5620,7877
B_3_3,6044,7453
B_3_4,6468,7029
B_3_5,6892,6605
B_3_6,7316,6181
B_3_7,7740,5757
B_3_8,8164,5333
B_4_1,4128,8070
B_4_2,4552,7646
B_4_3,4976,7222
B_4_4,5400,6798
B_4_5,5824,6374
B_4_6,6248,5950
B_4_7,6672,5526
B_4_8,7096,5102
B_4_9,7520,4678
B_4_10,7944,4254
B_5_1,3474,7407
B_5_2,3898,6983
B_5_3,4322,6559
B_5_4,4746,6135
B_5_5,5170,5711
B_5_6,5594,5287
B_5_7,6018,4863
B_5_8,6442,4439
B_5_9,6866,4015
B_5_10,7290,3591
C_1_1,9846,6587
C_1_2,10446,6587
C_1_3,11046,6587
C_1_4,11646,6587
C_1_5,12246,6587
C_1_6,12846,6587
C_1_7,13446,6587
C_1_8,14046,6587
C_2_1,9246,5579
C_2_2,9846,5579
C_2_3,10446,5579
C_2_4,11046,5579
C_2_5,11646,5579
C_2_6,12246,5579
C_2_7,12846,5579
C_2_8,13446,5579
C_2_9,14046,5579
C_3_1,9246,4687
C_3_2,9846,4687
C_3_3,10446,4687
C_3_4,11046,4687
C_3_5,11646,4687
C_3_6,12246,4687
C_3_7,12846,4687
C_3_8,13446,4687
C_3_9,14046,4687
C_4_1,8646,3787
C_4_2,9246,3787
C_4_3,9846,3787
C_4_4,10446,3787
C_4_5,11046,3787
C_4_6,11646,3787
C_4_7,12246,3787
C_4_8,12846,3787
C_4_9,13446,3787
C_4_10,14046,3787
C_5_1,8646,2887
C_5_2,9246,2887
C_5_3,9846,2887
C_5_4,10446,2887
C_5_5,11046,2887
C_5_6,11646,2887
C_5_7,12246,2887
C_5_8,12846,2887
C_5_9,13446,2887
C_5_10,14046,2887
D_1_1,16373,6587
D_1_2,16973,6587
D_1_3,17573,6587
D_1_4,18173,6587
D_1_5,18773,6587
D_1_6,19373,6587
D_1_7,19973,6587
D_1_8,20573,6587
D_1_9,21173,6587
D_1_10,21773,6587
D_1_11,22373,6587
D_1_12,22973,6587
D_1_13,23573,6587
D_1_14,24173,6587
D_1_15,24773,6587
D_1_16,25373,6587
D_1_17,25973,6587
D_1_18,26573,6587
D_1_19,27173,6587
D_1_20,27773,6587
D_1_21,28373,6587
D_1_22,28973,6587
